FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
529,554,190,168,0,1,3,7,0
528,551,194,148,23,30,5,6,0
534,555,204,160,23,31,5,6,0
540,557,214,162,22,32,4,7,0
542,557,217,167,25,33,3,6,0
543,557,217,168,23,34,5,6,0
543,558,220,169,23,34,4,7,0
545,558,222,173,24,35,4,6,0
545,558,223,173,23,34,3,7,0
546,559,225,174,24,35,4,6,0
547,560,227,175,24,36,4,6,0
547,559,228,177,24,36,4,6,0
548,560,228,176,24,36,3,6,0
549,560,228,178,24,36,4,6,0
549,560,228,178,24,35,2,7,0
550,560,228,178,24,36,3,5,0
550,561,226,179,23,36,5,6,0
551,560,224,180,22,36,4,7,0
553,562,223,181,23,37,3,6,0
552,562,223,181,23,37,4,7,0
552,562,222,181,23,36,5,7,0
552,562,223,183,23,36,5,7,0
554,562,224,184,23,36,3,7,0
554,563,224,185,23,36,3,7,0
554,563,225,186,23,36,3,7,0
555,563,225,186,23,36,4,6,0
555,564,224,186,22,36,4,7,0
557,566,228,186,24,35,4,4,0
555,563,227,185,25,36,2,7,0
556,562,230,184,26,36,5,7,0
556,564,231,185,25,36,5,7,0
555,564,227,189,31,39,0,7,0
551,559,218,182,26,39,5,6,0
550,559,216,177,29,42,4,6,0
551,560,219,175,29,40,4,6,0
552,560,222,177,29,41,3,7,0
551,560,220,177,29,41,4,6,0
552,560,221,179,29,40,4,7,0
553,560,223,181,29,41,4,6,0
553,560,222,181,29,41,4,7,0
551,561,203,181,29,41,4,7,0
553,561,210,182,29,41,5,7,0
552,561,211,181,29,40,4,6,0
554,562,215,181,29,40,4,6,0
553,561,214,182,28,40,3,6,0
554,562,214,182,29,41,3,6,0
554,563,217,184,30,41,4,6,0
554,561,215,182,28,40,4,6,0
555,560,219,175,28,41,5,4,0
555,561,220,176,29,41,6,4,0
555,561,220,175,29,40,6,5,0
556,561,223,175,29,41,5,4,0
555,561,218,174,29,40,4,4,0
556,561,215,176,28,41,5,4,0
557,563,216,178,25,41,6,4,0
560,565,218,180,26,39,7,4,0
559,565,219,181,27,40,8,5,0
560,562,221,182,28,41,4,4,0
560,562,223,182,27,41,5,4,0
562,566,223,181,31,42,4,4,0
557,562,217,184,28,43,5,6,0
558,562,219,185,30,43,4,6,0
559,563,219,186,30,43,3,5,0
556,555,186,159,27,43,4,6,0
558,557,194,164,27,42,4,6,0
559,559,198,167,28,42,5,5,0
559,560,200,169,27,42,4,6,0
558,558,201,171,27,42,5,6,0
560,560,200,172,27,42,3,7,0
560,560,203,174,27,42,4,4,0
560,560,204,174,28,43,4,6,0
559,555,205,168,24,42,7,5,0
559,557,205,170,25,42,8,0,0
559,557,198,168,26,41,7,4,0
559,557,201,170,26,42,8,4,0
560,557,203,172,27,41,8,4,0
559,557,204,173,26,41,8,4,0
560,557,206,174,26,42,7,3,0
560,558,210,174,27,42,8,0,0
560,559,208,175,25,42,7,4,0
561,559,209,174,25,42,8,4,0
571,555,210,174,26,42,7,4,0
560,557,176,173,25,42,7,4,0
561,557,185,174,26,42,7,6,0
561,559,191,176,28,42,7,4,0
560,559,193,174,26,42,7,4,0
561,559,196,175,25,42,7,4,0
561,559,197,176,27,42,8,4,0
561,560,199,175,26,42,7,4,0
562,560,199,177,26,42,8,4,0
561,560,201,176,26,42,8,4,0
562,560,202,176,27,42,6,4,0
558,560,200,178,27,41,7,4,0
561,561,202,178,25,40,7,4,0
562,561,204,179,27,41,6,4,0
563,561,206,178,27,40,6,0,0
562,561,206,179,27,40,7,4,0
562,560,203,178,27,41,7,4,0
563,562,208,179,27,41,5,0,0
563,562,209,180,28,42,7,0,0
563,561,210,180,26,41,6,4,0
564,562,211,180,26,41,6,4,0
563,562,212,181,26,41,7,4,0
563,562,214,181,25,41,7,5,0
564,563,214,181,26,41,7,6,0
564,563,216,181,27,41,7,4,0
564,564,217,180,26,41,7,4,0
564,563,216,182,26,41,6,4,0
564,563,217,182,27,41,7,4,0
565,564,216,182,26,41,6,4,0
565,564,216,182,26,41,7,4,0
565,564,217,183,24,41,8,4,0
564,559,195,178,25,41,8,1,0
565,560,197,168,23,40,7,0,0
565,560,199,163,23,40,8,6,0
551,563,194,149,23,39,9,4,0
528,564,199,154,24,40,8,0,0
542,563,199,153,28,38,8,5,0
472,567,204,158,24,39,7,5,0
464,575,180,197,5,12,0,0,0
540,573,207,230,0,4,4,5,0
563,575,217,197,3,0,4,6,0
558,572,217,172,8,12,5,5,0
559,573,228,204,9,17,4,5,0
566,577,221,213,7,16,4,0,0
576,582,142,84,40,43,0,0,0
543,584,159,73,37,41,8,0,0
550,524,184,232,0,6,3,8,0
489,543,242,269,4,0,5,5,0
511,548,197,330,9,0,2,0,0
493,549,204,192,47,3,4,0,0
522,567,156,168,35,39,3,1,0
514,584,166,100,33,33,4,5,0
534,543,209,138,28,9,6,1,0
538,550,215,143,29,9,8,5,0
556,536,181,112,16,9,3,6,0
531,542,218,152,47,31,0,6,0
546,549,225,153,40,30,1,6,0
546,558,225,140,42,22,1,2,0
548,558,225,143,41,26,5,0,0
549,560,227,148,45,30,0,0,0
551,557,229,149,30,11,4,5,0
544,565,221,143,31,17,0,0,0
552,566,219,144,28,10,4,5,0
557,565,216,144,29,11,5,4,0
563,567,223,145,31,13,4,5,0
562,539,208,141,29,12,3,0,0
559,545,211,144,30,16,4,0,0
560,548,210,146,27,14,5,0,0
564,551,190,148,29,13,4,0,0
572,553,197,150,28,13,4,0,0
577,554,200,147,28,12,3,5,0
579,557,207,150,29,10,4,1,0
582,559,213,152,28,10,5,4,0
571,560,210,156,27,10,5,5,0
576,563,211,156,20,10,1,5,0
568,569,203,148,7,5,5,6,0
565,566,212,154,22,9,4,5,0
564,566,220,156,24,11,5,3,0
577,566,218,157,22,9,3,6,0
579,566,217,160,20,9,5,5,0
579,567,190,161,22,10,6,5,0
581,568,196,162,22,9,6,5,0
